id,color,area,center,has_child
3020,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}",127.0,"{'X': 1138, 'Y': 1532}",False
3021,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}",154.0,"{'X': 1405, 'Y': 1528}",False
3022,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}",158.0,"{'X': 1288, 'Y': 1517}",False
3023,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}",146.5,"{'X': 1229, 'Y': 1511}",False
3024,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}",166.0,"{'X': 1501, 'Y': 1506}",False
3025,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}",146.0,"{'X': 1170, 'Y': 1505}",False
3026,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}",142.0,"{'X': 1439, 'Y': 1501}",False
3027,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}",148.0,"{'X': 1263, 'Y': 1485}",False
3028,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}",151.0,"{'X': 1534, 'Y': 1479}",False
3029,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}",155.0,"{'X': 1204, 'Y': 1479}",False
303,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}",3141.5,"{'X': 1403, 'Y': 1740}",False
3030,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}",161.0,"{'X': 1477, 'Y': 1474}",False
3031,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}",158.0,"{'X': 1239, 'Y': 1453}",False
3032,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}",153.0,"{'X': 1180, 'Y': 1447}",False
3033,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}",149.0,"{'X': 1511, 'Y': 1443}",False
3034,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}",133.5,"{'X': 1215, 'Y': 1417}",False
304,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}",3182.5,"{'X': 1309, 'Y': 1740}",False
305,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}",122.0,"{'X': 1482, 'Y': 1627}",False
306,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}",144.0,"{'X': 1243, 'Y': 1607}",False
307,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}",152.0,"{'X': 1515, 'Y': 1601}",False
308,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}",141.5,"{'X': 1183, 'Y': 1601}",False
309,"{'L': 73.63281, 'A': 3.03125, 'B': 3.9375}",158.0,"{'X': 1456, 'Y': 1595}",False
