L,A,B
0.0,0.0,0.0
44.055176,5.46875,8.3125
47.540283,17.8125,52.453125
59.033203,18.671875,46.546875
61.40747,2.0625,-57.6875
84.28955,8.828125,32.796875
98.82202,0.0,1.078125
